rsi_buy,rsi_sell,hist_thresh,sl_pct,tp_pct,trailing,end_capital,gross_pnl,trades,win_rate,max_dd
25.0,75.0,0.0,0.02,0.04,False,10010.002399679872,10.00239967987199,4,75.0,2.0
25.0,75.0,0.02,0.02,0.04,False,10010.002399679872,10.002399679871994,4,75.0,2.0
25.0,75.0,0.0,0.02,0.02,False,10003.999999839984,3.9999998399839924,4,75.0,2.0
25.0,75.0,0.02,0.02,0.02,False,10003.999999839984,3.9999998399840027,4,75.0,2.0
25.0,70.0,0.0,0.02,0.02,False,10005.217087999099,5.217087999094913,17,58.82352941176471,8.77901680110881
25.0,70.0,0.02,0.02,0.02,False,10003.216444710157,3.2164447101528983,16,56.25,8.77901680110881
35.0,70.0,0.0,0.02,0.02,False,10002.488259878683,2.4882598786828405,36,55.55555555555556,9.475974061977467
35.0,75.0,0.0,0.02,0.02,False,10003.327586645324,3.327586645319558,22,54.54545454545454,8.003464096475
35.0,70.0,0.0,0.02,0.04,False,10007.547965143609,7.547965143611839,32,53.125,6.78196365724034
35.0,70.0,0.02,0.02,0.02,False,9998.606170995474,-1.3938290045263293,34,52.94117647058824,11.356340703889146
35.0,75.0,0.02,0.02,0.02,False,10001.327321181083,1.3273211810833512,21,52.38095238095239,8.00186372373355
30.0,70.0,0.0,0.02,0.02,False,10000.703174889719,0.7031748897210555,21,52.38095238095239,9.290731405615588
30.0,75.0,0.0,0.02,0.04,False,10007.999198400015,7.999198400016117,8,50.0,4.002799839665386
30.0,75.0,0.02,0.02,0.04,False,10007.999198400015,7.999198400016119,8,50.0,4.002799839665386
25.0,75.0,0.0,0.01,0.04,False,10006.000099760015,6.000099760016011,4,50.0,1.0002999600001203
25.0,75.0,0.02,0.01,0.04,False,10006.000099760015,6.000099760016013,4,50.0,1.0002999600001203
25.0,75.0,0.0,0.01,0.02,False,10001.999699960004,1.9996999600040133,4,50.0,1.0000999799995043
25.0,75.0,0.02,0.01,0.02,False,10001.999699960004,1.999699960004023,4,50.0,1.0000999799995043
30.0,75.0,0.0,0.02,0.02,False,9999.998400000095,-0.0015999999040174906,8,50.0,4.000799679952252
30.0,75.0,0.02,0.02,0.02,False,9999.998400000095,-0.0015999999040077206,8,50.0,4.000799679952252
30.0,70.0,0.02,0.02,0.02,False,9998.703434202882,-1.2965657971195044,20,50.0,9.290731405615588
35.0,70.0,0.02,0.02,0.04,False,10002.262060482059,2.2620604820594257,31,48.38709677419355,9.642079892770198
25.0,65.0,0.0,0.02,0.02,False,9991.924246728133,-8.075753271872884,47,46.808510638297875,14.046439127705526
25.0,65.0,0.02,0.02,0.02,False,9991.924246728133,-8.075753271872875,47,46.808510638297875,14.046439127705526
25.0,70.0,0.0,0.02,0.04,False,10010.329768787815,10.329768787812238,15,46.666666666666664,5.999529895121668
25.0,70.0,0.02,0.02,0.04,False,10010.329768787815,10.329768787812242,15,46.666666666666664,5.999529895121668
35.0,75.0,0.0,0.02,0.04,False,10009.395000858467,9.395000858467316,20,45.0,12.009995981939937
35.0,70.0,0.0,0.01,0.02,False,10010.522129854406,10.52212985441054,45,44.44444444444444,6.999516728868912
35.0,75.0,0.0,0.01,0.02,False,10009.000898649685,9.000898649685103,27,44.44444444444444,3.002400109764494
35.0,65.0,0.02,0.02,0.02,False,9979.205218264464,-20.794781735531185,63,44.44444444444444,25.29783883751952
35.0,65.0,0.0,0.02,0.04,False,9989.052900265511,-10.947099734489493,59,44.06779661016949,16.992126740298772
35.0,65.0,0.0,0.02,0.02,False,9979.526887040282,-20.47311295971287,64,43.75,24.989976705257504
35.0,65.0,0.02,0.02,0.04,False,9988.7424636999,-11.257536300093117,58,43.103448275862064,17.38910452174605
30.0,65.0,0.0,0.02,0.02,False,9984.963065729293,-15.036934270702996,49,42.857142857142854,18.8598126778179
30.0,65.0,0.02,0.02,0.02,False,9984.963065729293,-15.03693427070299,49,42.857142857142854,18.8598126778179
35.0,75.0,0.02,0.01,0.02,False,10006.999498749938,6.999498749935118,26,42.30769230769231,3.0017997498143814
30.0,70.0,0.0,0.02,0.04,False,10005.813549062135,5.8135490621367945,19,42.10526315789473,6.780580681905121
30.0,70.0,0.02,0.02,0.04,False,10005.813549062135,5.813549062136796,19,42.10526315789473,6.780580681905121
35.0,75.0,0.02,0.02,0.04,False,10005.39284372098,5.3928437209789255,19,42.10526315789473,12.005193904376938
35.0,70.0,0.02,0.01,0.02,False,10006.636922927319,6.636922927319518,43,41.86046511627907,7.998899430220263
30.0,65.0,0.02,0.02,0.04,False,9994.220342269702,-5.779657730301047,41,39.02439024390244,13.428620962124114
30.0,65.0,0.0,0.02,0.04,False,9994.133501557946,-5.866498442054781,41,39.02439024390244,13.428620962124114
25.0,65.0,0.0,0.02,0.04,False,10000.41858250829,0.4185825082861302,36,38.88888888888889,11.994001599758121
25.0,65.0,0.02,0.02,0.04,False,10000.39903560152,0.3990356015169836,36,38.88888888888889,11.994001599758121
25.0,70.0,0.0,0.01,0.02,False,10002.998199540167,2.998199540170973,21,38.095238095238095,7.997500300032698
35.0,70.0,0.0,0.01,0.04,False,10010.945821222333,10.94582122233134,41,36.58536585365854,7.002513632265618
35.0,65.0,0.0,0.01,0.02,False,9990.988098747755,-9.011901252236408,83,36.144578313253014,18.57497402883382
25.0,70.0,0.02,0.01,0.02,False,10000.997999940178,0.9979999401829533,20,35.0,7.997500300032698
35.0,65.0,0.02,0.01,0.02,False,9987.672103319335,-12.327896680656274,82,34.146341463414636,20.35888887908004
35.0,75.0,0.0,0.01,0.04,False,10012.561075982658,12.561075982655808,24,33.33333333333333,10.008992415421744
35.0,70.0,0.02,0.01,0.04,False,10006.658887806474,6.658887806475683,40,32.5,7.0011958296563535
35.0,65.0,0.0,0.01,0.04,False,9992.202579132843,-7.797420867153921,74,32.432432432432435,20.632927310716696
30.0,70.0,0.0,0.01,0.02,False,9998.997600400233,-1.0023995997641382,25,32.0,9.995800879947637
35.0,65.0,0.02,0.01,0.04,False,9990.089931352793,-9.91006864720729,74,31.08108108108108,22.416562356271243
35.0,75.0,0.02,0.01,0.04,False,10008.557652921485,8.557652921487207,23,30.434782608695656,10.004990419256501
25.0,65.0,0.0,0.01,0.02,False,9992.229139360725,-7.77086063927253,64,29.6875,16.988203620139757
30.0,70.0,0.02,0.01,0.02,False,9996.99820076008,-3.0017992399161377,24,29.166666666666668,9.995800879947637
25.0,65.0,0.02,0.01,0.02,False,9991.230216163716,-8.769783836284594,62,29.03225806451613,16.988203620139757
30.0,65.0,0.0,0.01,0.02,False,9986.537588701527,-13.46241129847135,66,27.27272727272727,20.527722487107894
30.0,65.0,0.02,0.01,0.02,False,9985.539234488866,-14.46076551113557,64,26.5625,20.527722487107894
25.0,70.0,0.0,0.01,0.04,False,10004.996498850742,4.996498850745018,20,25.0,7.998199560386638
25.0,70.0,0.02,0.01,0.04,False,10004.996498850742,4.99649885074502,20,25.0,7.998199560386638
30.0,75.0,0.0,0.01,0.04,False,10001.998300040095,1.9983000400949766,8,25.0,4.000199640064238
30.0,75.0,0.02,0.01,0.04,False,10001.998300040095,1.9983000400949789,8,25.0,4.000199640064238
30.0,75.0,0.0,0.01,0.02,False,9997.999500159995,-2.000499840005014,8,25.0,3.999699900025007
30.0,75.0,0.02,0.01,0.02,False,9997.999500159995,-2.0004998400050042,8,25.0,3.999699900025007
30.0,70.0,0.02,0.01,0.04,False,10000.819461611396,0.8194616114024444,23,21.73913043478261,9.996500000455853
30.0,70.0,0.0,0.01,0.04,False,10000.995100510972,0.9951005109756512,24,20.833333333333336,9.996500000455853
30.0,65.0,0.02,0.01,0.04,False,9988.967027371607,-11.032972628394527,54,20.37037037037037,21.910818955022478
25.0,65.0,0.02,0.01,0.04,False,9993.621841025004,-6.378158974993127,50,20.0,19.47915653833479
30.0,65.0,0.0,0.01,0.04,False,9987.881344283167,-12.118655716836276,55,20.0,21.910818955022478
25.0,65.0,0.0,0.01,0.04,False,9992.642010547514,-7.357989452482931,51,19.607843137254903,19.47915653833479
