rsi_buy,rsi_sell,hist_thresh,ema_period,sl_pct,tp_pct,trailing,end_capital,gross_pnl,trades,win_rate,max_dd
30.0,65.0,0.0,50,0.01,0.03,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.0,50,0.01,0.03,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.0,50,0.01,0.05,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.0,50,0.01,0.05,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.0,50,0.02,0.03,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.0,50,0.02,0.03,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.0,50,0.02,0.05,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.0,50,0.02,0.05,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.01,0.03,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.01,0.03,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.01,0.05,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.01,0.05,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.02,0.03,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.02,0.03,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.02,0.05,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.02,0.05,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.01,0.03,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.01,0.03,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.01,0.05,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.01,0.05,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.02,0.03,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.02,0.03,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.02,0.05,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.02,0.05,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.01,0.03,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.01,0.03,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.01,0.05,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.01,0.05,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.02,0.03,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.02,0.03,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.02,0.05,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.02,0.05,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.01,0.03,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.01,0.03,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.01,0.05,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.01,0.05,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.02,0.03,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.02,0.03,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.02,0.05,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.02,0.05,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,200,0.01,0.03,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,200,0.01,0.03,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,200,0.01,0.05,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,200,0.01,0.05,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,200,0.02,0.03,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,200,0.02,0.03,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,200,0.02,0.05,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,200,0.02,0.05,True,10000.0,0,0,0.0,0.0
35.0,65.0,0.0,50,0.01,0.03,False,10000.0,0,0,0.0,0.0
35.0,65.0,0.0,50,0.01,0.03,True,10000.0,0,0,0.0,0.0
35.0,65.0,0.0,50,0.01,0.05,False,10000.0,0,0,0.0,0.0
35.0,65.0,0.0,50,0.01,0.05,True,10000.0,0,0,0.0,0.0
35.0,65.0,0.0,50,0.02,0.03,False,10000.0,0,0,0.0,0.0
35.0,65.0,0.0,50,0.02,0.03,True,10000.0,0,0,0.0,0.0
35.0,65.0,0.0,50,0.02,0.05,False,10000.0,0,0,0.0,0.0
35.0,65.0,0.0,50,0.02,0.05,True,10000.0,0,0,0.0,0.0
35.0,65.0,0.02,50,0.01,0.03,False,10000.0,0,0,0.0,0.0
35.0,65.0,0.02,50,0.01,0.03,True,10000.0,0,0,0.0,0.0
35.0,65.0,0.02,50,0.01,0.05,False,10000.0,0,0,0.0,0.0
35.0,65.0,0.02,50,0.01,0.05,True,10000.0,0,0,0.0,0.0
35.0,65.0,0.02,50,0.02,0.03,False,10000.0,0,0,0.0,0.0
35.0,65.0,0.02,50,0.02,0.03,True,10000.0,0,0,0.0,0.0
35.0,65.0,0.02,50,0.02,0.05,False,10000.0,0,0,0.0,0.0
35.0,65.0,0.02,50,0.02,0.05,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,50,0.01,0.03,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,50,0.01,0.03,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,50,0.01,0.05,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,50,0.01,0.05,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,50,0.02,0.03,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,50,0.02,0.03,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,50,0.02,0.05,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,50,0.02,0.05,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,200,0.01,0.03,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,200,0.01,0.03,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,200,0.01,0.05,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,200,0.01,0.05,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,200,0.02,0.03,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,200,0.02,0.03,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,200,0.02,0.05,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.0,200,0.02,0.05,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,50,0.01,0.03,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,50,0.01,0.03,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,50,0.01,0.05,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,50,0.01,0.05,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,50,0.02,0.03,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,50,0.02,0.03,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,50,0.02,0.05,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,50,0.02,0.05,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,200,0.01,0.03,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,200,0.01,0.03,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,200,0.01,0.05,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,200,0.01,0.05,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,200,0.02,0.03,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,200,0.02,0.03,True,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,200,0.02,0.05,False,10000.0,0,0,0.0,0.0
35.0,70.0,0.02,200,0.02,0.05,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,200,0.01,0.03,True,9999.66582940603,-0.33417059396876314,1,0.0,0.3341705939692474
30.0,65.0,0.02,200,0.01,0.05,True,9999.66582940603,-0.33417059396876314,1,0.0,0.3341705939692474
35.0,65.0,0.02,200,0.01,0.03,True,9999.66582940603,-0.33417059396876314,1,0.0,0.3341705939692474
35.0,65.0,0.02,200,0.01,0.05,True,9999.66582940603,-0.33417059396876314,1,0.0,0.3341705939692474
30.0,65.0,0.0,200,0.01,0.03,True,9999.660101407355,-0.33989859264522704,1,0.0,0.33989859264511324
30.0,65.0,0.0,200,0.01,0.05,True,9999.660101407355,-0.33989859264522704,1,0.0,0.33989859264511324
35.0,65.0,0.0,200,0.01,0.03,True,9999.660101407355,-0.33989859264522704,1,0.0,0.33989859264511324
35.0,65.0,0.0,200,0.01,0.05,True,9999.660101407355,-0.33989859264522704,1,0.0,0.33989859264511324
30.0,65.0,0.02,200,0.02,0.03,False,9999.115590596464,-0.8844094035363675,1,0.0,0.8844094035357557
30.0,65.0,0.02,200,0.02,0.05,False,9999.115590596464,-0.8844094035363675,1,0.0,0.8844094035357557
35.0,65.0,0.02,200,0.02,0.03,False,9999.115590596464,-0.8844094035363675,1,0.0,0.8844094035357557
35.0,65.0,0.02,200,0.02,0.05,False,9999.115590596464,-0.8844094035363675,1,0.0,0.8844094035357557
30.0,65.0,0.0,200,0.02,0.03,False,9999.109831185087,-0.8901688149125555,1,0.0,0.890168814912613
30.0,65.0,0.0,200,0.02,0.05,False,9999.109831185087,-0.8901688149125555,1,0.0,0.890168814912613
35.0,65.0,0.0,200,0.02,0.03,False,9999.109831185087,-0.8901688149125555,1,0.0,0.890168814912613
35.0,65.0,0.0,200,0.02,0.05,False,9999.109831185087,-0.8901688149125555,1,0.0,0.890168814912613
30.0,65.0,0.0,200,0.01,0.03,False,9999.0,-0.9999999999999951,1,0.0,1.0
30.0,65.0,0.0,200,0.01,0.05,False,9999.0,-0.9999999999999951,1,0.0,1.0
30.0,65.0,0.02,200,0.01,0.03,False,9999.0,-0.9999999999999952,1,0.0,1.0
30.0,65.0,0.02,200,0.01,0.05,False,9999.0,-0.9999999999999952,1,0.0,1.0
35.0,65.0,0.0,200,0.01,0.03,False,9999.0,-0.9999999999999951,1,0.0,1.0
35.0,65.0,0.0,200,0.01,0.05,False,9999.0,-0.9999999999999951,1,0.0,1.0
35.0,65.0,0.02,200,0.01,0.03,False,9999.0,-0.9999999999999952,1,0.0,1.0
35.0,65.0,0.02,200,0.01,0.05,False,9999.0,-0.9999999999999952,1,0.0,1.0
30.0,65.0,0.02,200,0.02,0.03,True,9998.672421776388,-1.3275782236120048,1,0.0,1.3275782236123632
30.0,65.0,0.02,200,0.02,0.05,True,9998.672421776388,-1.3275782236120048,1,0.0,1.3275782236123632
35.0,65.0,0.02,200,0.02,0.03,True,9998.672421776388,-1.3275782236120048,1,0.0,1.3275782236123632
35.0,65.0,0.02,200,0.02,0.05,True,9998.672421776388,-1.3275782236120048,1,0.0,1.3275782236123632
30.0,65.0,0.0,200,0.02,0.03,True,9998.666637064853,-1.3333629351466516,1,0.0,1.3333629351473064
30.0,65.0,0.0,200,0.02,0.05,True,9998.666637064853,-1.3333629351466516,1,0.0,1.3333629351473064
35.0,65.0,0.0,200,0.02,0.03,True,9998.666637064853,-1.3333629351466516,1,0.0,1.3333629351473064
35.0,65.0,0.0,200,0.02,0.05,True,9998.666637064853,-1.3333629351466516,1,0.0,1.3333629351473064
